ORs,Weekday,Week Number,Block,Beds,Surgeon ID
1,1,1,"(d1,o1)",7,21
1,1,2,"(d1,o1)",6,75
1,1,3,"(d1,o1)",7,21
1,1,4,"(d1,o1)",6,94
1,2,1,"(d2,o1)",6,23
1,2,2,"(d2,o1)",6,88
1,2,3,"(d2,o1)",6,92
1,2,4,"(d2,o1)",7,19
1,3,1,"(d3,o1)",6,16
1,3,2,"(d3,o1)",6,1
1,3,3,"(d3,o1)",6,75
1,3,4,"(d3,o1)",7,19
1,4,1,"(d4,o1)",6,20
1,4,2,"(d4,o1)",7,56
1,4,3,"(d4,o1)",6,93
1,4,4,"(d4,o1)",6,64
1,5,1,"(d5,o1)",6,21
1,5,2,"(d5,o1)",6,87
1,5,3,"(d5,o1)",6,17
1,5,4,"(d5,o1)",6,70
1,6,1,"(d6,o1)",5,75
1,6,2,"(d6,o1)",6,62
1,6,3,"(d6,o1)",5,99
1,6,4,"(d6,o1)",5,70
1,7,1,"(d7,o1)",5,91
1,7,2,"(d7,o1)",6,38
1,7,3,"(d7,o1)",5,78
1,7,4,"(d7,o1)",5,69
2,1,1,"(d1,o2)",6,21
2,1,2,"(d1,o2)",7,75
2,1,3,"(d1,o2)",7,21
2,1,4,"(d1,o2)",6,94
2,2,1,"(d2,o2)",6,23
2,2,2,"(d2,o2)",6,88
2,2,3,"(d2,o2)",6,92
2,2,4,"(d2,o2)",7,19
2,3,1,"(d3,o2)",7,16
2,3,2,"(d3,o2)",8,1
2,3,3,"(d3,o2)",6,75
2,3,4,"(d3,o2)",6,19
2,4,1,"(d4,o2)",6,20
2,4,2,"(d4,o2)",6,56
2,4,3,"(d4,o2)",6,93
2,4,4,"(d4,o2)",6,64
2,5,1,"(d5,o2)",6,21
2,5,2,"(d5,o2)",6,87
2,5,3,"(d5,o2)",6,17
2,5,4,"(d5,o2)",6,70
2,6,1,"(d6,o2)",5,75
2,6,2,"(d6,o2)",5,62
2,6,3,"(d6,o2)",7,99
2,6,4,"(d6,o2)",6,70
2,7,1,"(d7,o2)",5,91
2,7,2,"(d7,o2)",6,38
2,7,3,"(d7,o2)",5,78
2,7,4,"(d7,o2)",5,69
3,1,1,"(d1,o3)",6,21
3,1,2,"(d1,o3)",6,75
3,1,3,"(d1,o3)",7,21
3,1,4,"(d1,o3)",6,94
3,2,1,"(d2,o3)",6,23
3,2,2,"(d2,o3)",7,88
3,2,3,"(d2,o3)",6,92
3,2,4,"(d2,o3)",6,19
3,3,1,"(d3,o3)",6,16
3,3,2,"(d3,o3)",6,1
3,3,3,"(d3,o3)",6,75
3,3,4,"(d3,o3)",6,19
3,4,1,"(d4,o3)",7,20
3,4,2,"(d4,o3)",6,56
3,4,3,"(d4,o3)",8,93
3,4,4,"(d4,o3)",6,64
3,5,1,"(d5,o3)",6,21
3,5,2,"(d5,o3)",6,87
3,5,3,"(d5,o3)",6,17
3,5,4,"(d5,o3)",6,70
3,6,1,"(d6,o3)",5,75
3,6,2,"(d6,o3)",6,62
3,6,3,"(d6,o3)",8,99
3,6,4,"(d6,o3)",5,70
3,7,1,"(d7,o3)",5,91
3,7,2,"(d7,o3)",5,38
3,7,3,"(d7,o3)",5,78
3,7,4,"(d7,o3)",6,69
4,1,1,"(d1,o4)",5,21
4,1,2,"(d1,o4)",7,75
4,1,3,"(d1,o4)",6,21
4,1,4,"(d1,o4)",6,94
4,2,1,"(d2,o4)",6,23
4,2,2,"(d2,o4)",6,88
4,2,3,"(d2,o4)",6,92
4,2,4,"(d2,o4)",6,19
4,3,1,"(d3,o4)",7,16
4,3,2,"(d3,o4)",6,1
4,3,3,"(d3,o4)",7,75
4,3,4,"(d3,o4)",6,19
4,4,1,"(d4,o4)",6,20
4,4,2,"(d4,o4)",6,56
4,4,3,"(d4,o4)",7,93
4,4,4,"(d4,o4)",7,64
4,5,1,"(d5,o4)",6,21
4,5,2,"(d5,o4)",7,87
4,5,3,"(d5,o4)",6,17
4,5,4,"(d5,o4)",6,70
4,6,1,"(d6,o4)",5,75
4,6,2,"(d6,o4)",6,62
4,6,3,"(d6,o4)",6,99
4,6,4,"(d6,o4)",5,70
4,7,1,"(d7,o4)",5,91
4,7,2,"(d7,o4)",5,38
4,7,3,"(d7,o4)",7,78
4,7,4,"(d7,o4)",5,69
5,1,1,"(d1,o5)",6,21
5,1,2,"(d1,o5)",6,75
5,1,3,"(d1,o5)",6,21
5,1,4,"(d1,o5)",7,94
5,2,1,"(d2,o5)",8,23
5,2,2,"(d2,o5)",6,88
5,2,3,"(d2,o5)",8,92
5,2,4,"(d2,o5)",6,19
5,3,1,"(d3,o5)",6,16
5,3,2,"(d3,o5)",7,1
5,3,3,"(d3,o5)",7,75
5,3,4,"(d3,o5)",6,19
5,4,1,"(d4,o5)",6,20
5,4,2,"(d4,o5)",6,56
5,4,3,"(d4,o5)",6,93
5,4,4,"(d4,o5)",6,64
5,5,1,"(d5,o5)",6,21
5,5,2,"(d5,o5)",6,87
5,5,3,"(d5,o5)",6,17
5,5,4,"(d5,o5)",6,70
5,6,1,"(d6,o5)",5,75
5,6,2,"(d6,o5)",7,62
5,6,3,"(d6,o5)",6,99
5,6,4,"(d6,o5)",5,70
5,7,1,"(d7,o5)",5,91
5,7,2,"(d7,o5)",5,38
5,7,3,"(d7,o5)",5,78
5,7,4,"(d7,o5)",5,69
6,1,1,"(d1,o6)",6,21
6,1,2,"(d1,o6)",6,75
6,1,3,"(d1,o6)",7,21
6,1,4,"(d1,o6)",6,94
6,2,1,"(d2,o6)",8,23
6,2,2,"(d2,o6)",6,88
6,2,3,"(d2,o6)",6,92
6,2,4,"(d2,o6)",6,19
6,3,1,"(d3,o6)",6,16
6,3,2,"(d3,o6)",6,1
6,3,3,"(d3,o6)",7,75
6,3,4,"(d3,o6)",7,19
6,4,1,"(d4,o6)",6,20
6,4,2,"(d4,o6)",6,56
6,4,3,"(d4,o6)",6,93
6,4,4,"(d4,o6)",7,64
6,5,1,"(d5,o6)",6,21
6,5,2,"(d5,o6)",6,87
6,5,3,"(d5,o6)",6,17
6,5,4,"(d5,o6)",6,70
6,6,1,"(d6,o6)",5,75
6,6,2,"(d6,o6)",5,62
6,6,3,"(d6,o6)",8,99
6,6,4,"(d6,o6)",6,70
6,7,1,"(d7,o6)",6,91
6,7,2,"(d7,o6)",5,38
6,7,3,"(d7,o6)",5,78
6,7,4,"(d7,o6)",6,69
7,1,1,"(d1,o7)",5,21
7,1,2,"(d1,o7)",5,75
7,1,3,"(d1,o7)",6,21
7,1,4,"(d1,o7)",6,94
7,2,1,"(d2,o7)",6,23
7,2,2,"(d2,o7)",6,88
7,2,3,"(d2,o7)",7,92
7,2,4,"(d2,o7)",6,19
7,3,1,"(d3,o7)",7,16
7,3,2,"(d3,o7)",7,1
7,3,3,"(d3,o7)",8,75
7,3,4,"(d3,o7)",8,19
7,4,1,"(d4,o7)",7,20
7,4,2,"(d4,o7)",8,56
7,4,3,"(d4,o7)",6,93
7,4,4,"(d4,o7)",6,64
7,5,1,"(d5,o7)",6,21
7,5,2,"(d5,o7)",6,87
7,5,3,"(d5,o7)",6,17
7,5,4,"(d5,o7)",7,70
7,6,1,"(d6,o7)",6,75
7,6,2,"(d6,o7)",6,62
7,6,3,"(d6,o7)",5,99
7,6,4,"(d6,o7)",6,70
7,7,1,"(d7,o7)",5,91
7,7,2,"(d7,o7)",5,38
7,7,3,"(d7,o7)",5,78
7,7,4,"(d7,o7)",6,69
8,1,1,"(d1,o8)",5,21
8,1,2,"(d1,o8)",7,75
8,1,3,"(d1,o8)",5,21
8,1,4,"(d1,o8)",6,94
8,2,1,"(d2,o8)",6,23
8,2,2,"(d2,o8)",6,88
8,2,3,"(d2,o8)",6,92
8,2,4,"(d2,o8)",6,19
8,3,1,"(d3,o8)",6,16
8,3,2,"(d3,o8)",6,1
8,3,3,"(d3,o8)",6,75
8,3,4,"(d3,o8)",7,19
8,4,1,"(d4,o8)",6,20
8,4,2,"(d4,o8)",6,56
8,4,3,"(d4,o8)",6,93
8,4,4,"(d4,o8)",6,64
8,5,1,"(d5,o8)",6,21
8,5,2,"(d5,o8)",6,87
8,5,3,"(d5,o8)",6,17
8,5,4,"(d5,o8)",6,70
8,6,1,"(d6,o8)",5,75
8,6,2,"(d6,o8)",5,62
8,6,3,"(d6,o8)",5,99
8,6,4,"(d6,o8)",5,70
8,7,1,"(d7,o8)",5,91
8,7,2,"(d7,o8)",5,38
8,7,3,"(d7,o8)",5,78
8,7,4,"(d7,o8)",5,69
9,1,1,"(d1,o9)",5,21
9,1,2,"(d1,o9)",7,75
9,1,3,"(d1,o9)",6,21
9,1,4,"(d1,o9)",6,94
9,2,1,"(d2,o9)",6,23
9,2,2,"(d2,o9)",6,88
9,2,3,"(d2,o9)",7,92
9,2,4,"(d2,o9)",6,19
9,3,1,"(d3,o9)",7,16
9,3,2,"(d3,o9)",7,1
9,3,3,"(d3,o9)",6,75
9,3,4,"(d3,o9)",6,19
9,4,1,"(d4,o9)",6,20
9,4,2,"(d4,o9)",6,56
9,4,3,"(d4,o9)",6,93
9,4,4,"(d4,o9)",6,64
9,5,1,"(d5,o9)",7,21
9,5,2,"(d5,o9)",6,87
9,5,3,"(d5,o9)",6,17
9,5,4,"(d5,o9)",6,70
9,6,1,"(d6,o9)",5,75
9,6,2,"(d6,o9)",5,62
9,6,3,"(d6,o9)",5,99
9,6,4,"(d6,o9)",6,70
9,7,1,"(d7,o9)",5,91
9,7,2,"(d7,o9)",7,38
9,7,3,"(d7,o9)",5,78
9,7,4,"(d7,o9)",5,69
10,1,1,"(d1,o10)",6,21
10,1,2,"(d1,o10)",5,75
10,1,3,"(d1,o10)",5,21
10,1,4,"(d1,o10)",6,94
10,2,1,"(d2,o10)",6,23
10,2,2,"(d2,o10)",6,88
10,2,3,"(d2,o10)",7,92
10,2,4,"(d2,o10)",7,19
10,3,1,"(d3,o10)",6,16
10,3,2,"(d3,o10)",7,1
10,3,3,"(d3,o10)",7,75
10,3,4,"(d3,o10)",6,19
10,4,1,"(d4,o10)",6,20
10,4,2,"(d4,o10)",7,56
10,4,3,"(d4,o10)",6,93
10,4,4,"(d4,o10)",6,64
10,5,1,"(d5,o10)",6,21
10,5,2,"(d5,o10)",6,87
10,5,3,"(d5,o10)",7,17
10,5,4,"(d5,o10)",6,70
10,6,1,"(d6,o10)",7,75
10,6,2,"(d6,o10)",5,62
10,6,3,"(d6,o10)",8,99
10,6,4,"(d6,o10)",5,70
10,7,1,"(d7,o10)",5,91
10,7,2,"(d7,o10)",5,38
10,7,3,"(d7,o10)",5,78
10,7,4,"(d7,o10)",5,69
11,1,1,"(d1,o11)",6,21
11,1,2,"(d1,o11)",7,75
11,1,3,"(d1,o11)",5,21
11,1,4,"(d1,o11)",6,94
11,2,1,"(d2,o11)",7,23
11,2,2,"(d2,o11)",6,88
11,2,3,"(d2,o11)",7,92
11,2,4,"(d2,o11)",7,19
11,3,1,"(d3,o11)",6,16
11,3,2,"(d3,o11)",6,1
11,3,3,"(d3,o11)",7,75
11,3,4,"(d3,o11)",6,19
11,4,1,"(d4,o11)",6,20
11,4,2,"(d4,o11)",6,56
11,4,3,"(d4,o11)",7,93
11,4,4,"(d4,o11)",7,64
11,5,1,"(d5,o11)",6,21
11,5,2,"(d5,o11)",6,87
11,5,3,"(d5,o11)",6,17
11,5,4,"(d5,o11)",6,70
11,6,1,"(d6,o11)",7,75
11,6,2,"(d6,o11)",6,62
11,6,3,"(d6,o11)",6,99
11,6,4,"(d6,o11)",5,70
11,7,1,"(d7,o11)",5,91
11,7,2,"(d7,o11)",6,38
11,7,3,"(d7,o11)",5,78
11,7,4,"(d7,o11)",5,69
12,1,1,"(d1,o12)",5,21
12,1,2,"(d1,o12)",7,75
12,1,3,"(d1,o12)",5,21
12,1,4,"(d1,o12)",6,94
12,2,1,"(d2,o12)",6,23
12,2,2,"(d2,o12)",6,88
12,2,3,"(d2,o12)",6,92
12,2,4,"(d2,o12)",6,19
12,3,1,"(d3,o12)",6,16
12,3,2,"(d3,o12)",7,1
12,3,3,"(d3,o12)",7,75
12,3,4,"(d3,o12)",8,19
12,4,1,"(d4,o12)",6,20
12,4,2,"(d4,o12)",7,56
12,4,3,"(d4,o12)",7,93
12,4,4,"(d4,o12)",6,64
12,5,1,"(d5,o12)",6,21
12,5,2,"(d5,o12)",6,87
12,5,3,"(d5,o12)",6,17
12,5,4,"(d5,o12)",6,70
12,6,1,"(d6,o12)",6,75
12,6,2,"(d6,o12)",7,62
12,6,3,"(d6,o12)",6,99
12,6,4,"(d6,o12)",6,70
12,7,1,"(d7,o12)",6,91
12,7,2,"(d7,o12)",5,38
12,7,3,"(d7,o12)",5,78
12,7,4,"(d7,o12)",6,69
13,1,1,"(d1,o13)",5,21
13,1,2,"(d1,o13)",6,75
13,1,3,"(d1,o13)",6,21
13,1,4,"(d1,o13)",6,94
13,2,1,"(d2,o13)",6,23
13,2,2,"(d2,o13)",6,88
13,2,3,"(d2,o13)",6,92
13,2,4,"(d2,o13)",6,19
13,3,1,"(d3,o13)",6,16
13,3,2,"(d3,o13)",6,1
13,3,3,"(d3,o13)",7,75
13,3,4,"(d3,o13)",7,19
13,4,1,"(d4,o13)",6,20
13,4,2,"(d4,o13)",6,56
13,4,3,"(d4,o13)",6,93
13,4,4,"(d4,o13)",6,64
13,5,1,"(d5,o13)",6,21
13,5,2,"(d5,o13)",6,87
13,5,3,"(d5,o13)",6,17
13,5,4,"(d5,o13)",7,70
13,6,1,"(d6,o13)",5,75
13,6,2,"(d6,o13)",5,62
13,6,3,"(d6,o13)",5,99
13,6,4,"(d6,o13)",5,70
13,7,1,"(d7,o13)",6,91
13,7,2,"(d7,o13)",5,38
13,7,3,"(d7,o13)",5,78
13,7,4,"(d7,o13)",7,69
14,1,1,"(d1,o14)",6,21
14,1,2,"(d1,o14)",6,75
14,1,3,"(d1,o14)",6,21
14,1,4,"(d1,o14)",6,94
14,2,1,"(d2,o14)",6,23
14,2,2,"(d2,o14)",6,88
14,2,3,"(d2,o14)",7,92
14,2,4,"(d2,o14)",6,19
14,3,1,"(d3,o14)",6,16
14,3,2,"(d3,o14)",8,1
14,3,3,"(d3,o14)",6,75
14,3,4,"(d3,o14)",6,19
14,4,1,"(d4,o14)",7,20
