Variable,Value
"x_p[(d7,o16),(d5,o7)]",-0.0
"x_p[(d2,o28),(d3,o25)]",-0.0
"x_p[(d5,o20),(d6,o14)]",-0.0
"x_p[(d4,o39),(d4,o46)]",-0.0
"x_p[(d3,o31),(d6,o34)]",-0.0
"x_p[(d2,o9),(d5,o5)]",-0.0
"x_p[(d1,o10),(d2,o9)]",-0.0
"x_p[(d7,o42),(d5,o39)]",-0.0
"x_p[(d4,o44),(d4,o34)]",-0.0
"x_p[(d7,o37),(d1,o41)]",-0.0
"x_p[(d5,o18),(d7,o28)]",-0.0
"x_p[(d4,o36),(d1,o39)]",-0.0
"x_p[(d3,o10),(d4,o1)]",-0.0
"x_p[(d6,o34),(d5,o33)]",-0.0
"x_p[(d1,o36),(d6,o30)]",-0.0
"x_p[(d3,o11),(d3,o2)]",-0.0
"x_p[(d7,o26),(d6,o35)]",-0.0
"x_p[(d2,o34),(d1,o37)]",-0.0
"x_p[(d2,o20),(d3,o12)]",-0.0
"x_p[(d6,o42),(d5,o47)]",-0.0
"x_p[(d7,o41),(d2,o43)]",-0.0
"x_p[(d1,o48),(d3,o46)]",-0.0
"x_p[(d6,o14),(d4,o20)]",-0.0
"x_p[(d6,o48),(d1,o43)]",-0.0
"x_p[(d3,o8),(d7,o7)]",0.0
"x_p[(d3,o29),(d2,o31)]",-0.0
"x_p[(d6,o11),(d5,o19)]",-0.0
"x_p[(d6,o38),(d6,o33)]",-0.0
"x_p[(d7,o22),(d5,o29)]",-0.0
"x_p[(d6,o36),(d7,o34)]",-0.0
"x_p[(d6,o22),(d3,o12)]",-0.0
"x_p[(d5,o31),(d7,o36)]",-0.0
"x_p[(d5,o20),(d7,o21)]",-0.0
"x_p[(d7,o38),(d3,o29)]",-0.0
"x_p[(d5,o6),(d1,o9)]",-0.0
"x_p[(d3,o11),(d6,o11)]",-0.0
"x_p[(d5,o35),(d6,o45)]",-0.0
"x_p[(d2,o3),(d6,o5)]",-0.0
"x_p[(d3,o19),(d4,o23)]",-0.0
"x_p[(d2,o46),(d5,o47)]",-0.0
"x_p[(d7,o25),(d3,o21)]",-0.0
"x_p[(d6,o33),(d4,o24)]",-0.0
"x_p[(d6,o16),(d1,o15)]",-0.0
"x_p[(d4,o44),(d6,o41)]",-0.0
"x_p[(d7,o14),(d4,o7)]",-0.0
"x_p[(d4,o17),(d5,o10)]",-0.0
"x_p[(d5,o52),(d5,o51)]",-0.0
"x_p[(d3,o25),(d2,o17)]",-0.0
"x_p[(d3,o38),(d3,o34)]",-0.0
"x_p[(d2,o45),(d1,o38)]",-0.0
"x_p[(d3,o1),(d4,o10)]",-0.0
"x_p[(d7,o27),(d5,o24)]",-0.0
"x_p[(d5,o35),(d5,o45)]",-0.0
"x_p[(d1,o41),(d5,o36)]",-0.0
"x_p[(d4,o39),(d2,o36)]",-0.0
"x_p[(d5,o47),(d1,o37)]",-0.0
"x_p[(d4,o42),(d7,o37)]",-0.0
"x_p[(d6,o50),(d6,o40)]",-0.0
"x_p[(d3,o50),(d2,o45)]",-0.0
"x_p[(d6,o12),(d1,o10)]",-0.0
"x_p[(d6,o48),(d4,o47)]",-0.0
"x_p[(d3,o32),(d4,o23)]",-0.0
"x_p[(d5,o36),(d4,o36)]",-0.0
"x_p[(d4,o40),(d7,o47)]",-0.0
"x_p[(d3,o30),(d6,o34)]",-0.0
"x_p[(d1,o38),(d3,o43)]",-0.0
"x_p[(d7,o52),(d5,o52)]",-0.0
"x_p[(d5,o14),(d7,o13)]",-0.0
"x_p[(d6,o30),(d2,o20)]",-0.0
"x_p[(d6,o40),(d7,o31)]",-0.0
"x_p[(d6,o10),(d5,o6)]",-0.0
"x_p[(d5,o39),(d6,o39)]",-0.0
